City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,itupiranga,-5.1347,-49.3267,86.32,68,39,3.56,BR,1678118603
83,airai,-8.9266,125.4092,58.82,91,96,1.9,TL,1678118636
84,narsaq,60.9167,-46.05,55.62,87,1,5.28,GL,1678118636
85,tambilil,5.9622,124.6697,77.94,87,90,2.21,PH,1678118637
86,namalenga,-10.95,39.1,76.6,77,35,5.12,TZ,1678118637
87,rongcheng,30.634,117.8517,60.21,48,99,3.22,CN,1678118638
88,maracaju,-21.6144,-55.1683,88.7,54,3,8.97,BR,1678118638
89,pangnirtung,66.1451,-65.7125,30.2,86,75,3.44,CA,1678118639
90,birobidzhan,48.8,132.95,17.91,94,63,4.7,RU,1678118639
91,honiara,-9.4333,159.95,77.54,87,98,6.71,SB,1678118640
92,hilo,19.7297,-155.09,72.28,71,1,4.43,US,1678118640
93,boguchany,58.3814,97.4531,4.01,100,88,3.51,RU,1678118640
94,anadyr,64.75,177.4833,-17.9,63,0,13.42,RU,1678118641
95,bakchar,57.0186,82.0711,29.79,93,100,14.83,RU,1678118641
96,suleya,55.1352,58.8792,20.19,88,96,8.66,RU,1678118642
97,peace river,56.2501,-117.286,-5.49,91,100,8.05,CA,1678118459
98,geraldton,-28.7667,114.6,70.21,73,0,13.8,AU,1678118643
99,nexo,55.0607,15.1306,35.69,63,57,5.88,DK,1678118573
100,talnakh,69.4865,88.3972,-5.8,96,100,7.34,RU,1678118645
101,arlit,18.7369,7.3853,99.5,6,57,13.71,NE,1678118645
102,qasigiannguit,68.8193,-51.1922,19.6,80,27,1.61,GL,1678118646
103,leh,34.1667,77.5833,7.36,78,65,3.04,IN,1678118646
104,bulgan,48.8125,103.5347,32.52,48,51,8.19,MN,1678118647
105,margate,51.3813,1.3862,47.89,74,100,4.0,GB,1678118648
106,maltahohe,-24.8333,16.9833,85.62,5,0,22.3,NA,1678118649
107,oyama,36.3,139.8,47.7,74,7,1.34,JP,1678118471
108,zhangye,38.9342,100.4517,44.49,31,92,4.52,CN,1678118650
109,nanortalik,60.1432,-45.2371,35.67,91,5,4.43,GL,1678118651
110,ponta do sol,32.6667,-17.1,70.0,94,88,7.4,PT,1678118653
111,ostrovnoy,68.0531,39.5131,11.86,93,100,9.6,RU,1678118654
112,lakes entrance,-37.8811,147.981,58.15,71,62,7.0,AU,1678118654
113,vaini,-21.2,-175.2,77.16,88,75,3.44,TO,1678118655
